dataset	tissue	cluster	hgnc	species_id	module	log2fc
tabib2021	skin	endothelial_vascular	SHISA4			0.446
tabib2021	skin	endothelial_vascular	UBE2T			1.983
tabib2021	skin	endothelial_vascular	MFSD4A			-1.009
tabib2021	skin	endothelial_vascular	NUCKS1			-0.437
tabib2021	skin	endothelial_vascular	AL356275.1			-1.182
tabib2021	skin	endothelial_vascular	PPP2R5A			0.488
tabib2021	skin	endothelial_vascular	MARC1			-1.023
tabib2021	skin	endothelial_vascular	DUSP10			0.804
tabib2021	skin	endothelial_vascular	DEGS1			0.533
tabib2021	skin	endothelial_vascular	CNIH4			0.510
tabib2021	skin	endothelial_vascular	ABCB10			0.925
tabib2021	skin	endothelial_vascular	NID1			0.862
tabib2021	skin	endothelial_vascular	OPN3			0.942
tabib2021	skin	endothelial_vascular	ADSS			0.334
tabib2021	skin	endothelial_vascular	PXDN			0.717
tabib2021	skin	endothelial_vascular	RRM2			4.469
tabib2021	skin	endothelial_vascular	TP53I3			0.895
tabib2021	skin	endothelial_vascular	DNAJC27			-0.777
tabib2021	skin	endothelial_vascular	OST4			0.755
tabib2021	skin	endothelial_vascular	PPM1G			0.334
tabib2021	skin	endothelial_vascular	FNDC4			1.386
tabib2021	skin	endothelial_vascular	YPEL5			0.416
tabib2021	skin	endothelial_vascular	MCFD2			0.366
tabib2021	skin	endothelial_vascular	CFAP36			-0.796
tabib2021	skin	endothelial_vascular	DYSF			0.707
tabib2021	skin	endothelial_vascular	BOLA3			0.557
tabib2021	skin	endothelial_vascular	RTKN			1.103
tabib2021	skin	endothelial_vascular	EVA1A			1.195
tabib2021	skin	endothelial_vascular	TMSB10			0.420
tabib2021	skin	endothelial_vascular	KCMF1			0.337
tabib2021	skin	endothelial_vascular	CAPG			0.777
tabib2021	skin	endothelial_vascular	VAMP8			0.847
tabib2021	skin	endothelial_vascular	COX5B			0.237
tabib2021	skin	endothelial_vascular	C2orf40			-1.853
tabib2021	skin	endothelial_vascular	MALL			0.703
tabib2021	skin	endothelial_vascular	ZC3H6			-0.840
tabib2021	skin	endothelial_vascular	CHCHD5			0.446
tabib2021	skin	endothelial_vascular	AC079922.2			0.821
tabib2021	skin	endothelial_vascular	TMEM185B			-0.689
tabib2021	skin	endothelial_vascular	MZT2B			0.515
tabib2021	skin	endothelial_vascular	PLEKHB2			0.460
tabib2021	skin	endothelial_vascular	MZT2A			0.437
tabib2021	skin	endothelial_vascular	NCKAP5			-0.849
tabib2021	skin	endothelial_vascular	ARHGAP15			1.041
tabib2021	skin	endothelial_vascular	HOXD11			-1.218
tabib2021	skin	endothelial_vascular	HOXD8			-0.224
tabib2021	skin	endothelial_vascular	CAVIN2			-0.666
tabib2021	skin	endothelial_vascular	MOB4			0.259
tabib2021	skin	endothelial_vascular	NDUFB3			0.600
tabib2021	skin	endothelial_vascular	ADAM23			1.733
tabib2021	skin	endothelial_vascular	METTL21A			-0.734
tabib2021	skin	endothelial_vascular	IGFBP2			0.863
tabib2021	skin	endothelial_vascular	CCL20			3.345
tabib2021	skin	endothelial_vascular	DGKD			-0.748
tabib2021	skin	endothelial_vascular	UBE2F			0.447
tabib2021	skin	endothelial_vascular	BOK			0.888
tabib2021	skin	endothelial_vascular	ATG4B			0.431
tabib2021	skin	endothelial_vascular	LMCD1			-0.413
tabib2021	skin	endothelial_vascular	ARPC4			0.760
tabib2021	skin	endothelial_vascular	SYN2			-1.013
tabib2021	skin	endothelial_vascular	ZNF385D			0.737
tabib2021	skin	endothelial_vascular	AZI2			0.353
tabib2021	skin	endothelial_vascular	GLB1			0.955
tabib2021	skin	endothelial_vascular	ZDHHC3			0.488
tabib2021	skin	endothelial_vascular	ELP6			0.507
tabib2021	skin	endothelial_vascular	DHX30			0.417
tabib2021	skin	endothelial_vascular	TMA7			0.428
tabib2021	skin	endothelial_vascular	SLC26A6			0.992
tabib2021	skin	endothelial_vascular	WDR6			0.502
tabib2021	skin	endothelial_vascular	SEMA3F			0.854
tabib2021	skin	endothelial_vascular	GNAI2			0.318
tabib2021	skin	endothelial_vascular	STAB1			1.304
tabib2021	skin	endothelial_vascular	TKT			0.539
tabib2021	skin	endothelial_vascular	EOGT			0.738
tabib2021	skin	endothelial_vascular	CADM2			-2.522
tabib2021	skin	endothelial_vascular	COL8A1			-1.420
tabib2021	skin	endothelial_vascular	PCNP			-0.364
tabib2021	skin	endothelial_vascular	CCDC80			-0.759
tabib2021	skin	endothelial_vascular	B4GALT4			-1.034
tabib2021	skin	endothelial_vascular	FSTL1			0.513
tabib2021	skin	endothelial_vascular	SEC61A1			0.469
tabib2021	skin	endothelial_vascular	RUVBL1			0.456
tabib2021	skin	endothelial_vascular	CNBP			-0.559
tabib2021	skin	endothelial_vascular	COPG1			0.663
tabib2021	skin	endothelial_vascular	PLXND1			0.464
tabib2021	skin	endothelial_vascular	CPNE4			-3.825
tabib2021	skin	endothelial_vascular	SLCO2A1			1.122
tabib2021	skin	endothelial_vascular	ATP1B3			0.549
tabib2021	skin	endothelial_vascular	TM4SF1			-0.593
tabib2021	skin	endothelial_vascular	PFN2			-0.931
tabib2021	skin	endothelial_vascular	EIF2A			-0.381
tabib2021	skin	endothelial_vascular	P2RY14			-0.997
tabib2021	skin	endothelial_vascular	MBNL1-AS1			-0.584
tabib2021	skin	endothelial_vascular	SSR3			0.335
tabib2021	skin	endothelial_vascular	YEATS2			0.744
tabib2021	skin	endothelial_vascular	ALG3			0.513
tabib2021	skin	endothelial_vascular	CCDC50			0.394
tabib2021	skin	endothelial_vascular	TMEM44			0.556
tabib2021	skin	endothelial_vascular	XXYLT1			0.845
tabib2021	skin	endothelial_vascular	TCTEX1D2			0.615
tabib2021	skin	endothelial_vascular	IDUA			0.648
tabib2021	skin	endothelial_vascular	TACC3			0.890
tabib2021	skin	endothelial_vascular	C4orf48			1.538
tabib2021	skin	endothelial_vascular	MFSD10			0.355
tabib2021	skin	endothelial_vascular	CYTL1			1.005
tabib2021	skin	endothelial_vascular	WDR1			0.525
tabib2021	skin	endothelial_vascular	ADAMTS3			1.439
tabib2021	skin	endothelial_vascular	ART3			-3.206
tabib2021	skin	endothelial_vascular	GPAT3			-0.866
tabib2021	skin	endothelial_vascular	TSPAN5			-0.956
tabib2021	skin	endothelial_vascular	CISD2			0.636
tabib2021	skin	endothelial_vascular	OSTC			0.341
tabib2021	skin	endothelial_vascular	CFI			0.751
tabib2021	skin	endothelial_vascular	FAM241A			0.544
tabib2021	skin	endothelial_vascular	CLGN			-1.776
tabib2021	skin	endothelial_vascular	ARHGAP10			-1.005
tabib2021	skin	endothelial_vascular	MND1			3.557
tabib2021	skin	endothelial_vascular	TLL1			0.852
tabib2021	skin	endothelial_vascular	ANKRD37			-0.532
tabib2021	skin	endothelial_vascular	IRX1			-1.213
tabib2021	skin	endothelial_vascular	OTULINL			-1.051
tabib2021	skin	endothelial_vascular	SUB1			0.534
tabib2021	skin	endothelial_vascular	C7			1.859
tabib2021	skin	endothelial_vascular	ARL15			-0.838
tabib2021	skin	endothelial_vascular	AC016596.1			-1.409
tabib2021	skin	endothelial_vascular	IPO11			0.858
