rank	hub_species	module	hub_score	hgnc_symbol	drug	approved	interaction_types	sources	score	ssc_context
9	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.6704	TGFB1	SANDOSTATIN	no		NCI	0.8848101450658564	
9	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.6704	TGFBR2	HESPERETIN	yes		DTC	5.800422062098392	
9	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.6704	TGFBR2	IRINOTECAN HYDROCHLORIDE	yes		PharmGKB	0.8286317231569131	
10	NICD1__nuc	M3	6.2234	NICD1						
11	NOTCH1_Coactivator_Complex__nuc	M3	5.5379	NOTCH1	BRONTICTUZUMAB	no	inhibitor	CGI;TTD;ChEMBL	19.57642445958207	
11	NOTCH1_Coactivator_Complex__nuc	M3	5.5379	NOTCH1	RO4929097	no	other/unknown;inhibitor	CGI;MyCancerGenome;CancerCommons	3.915284891916414	
11	NOTCH1_Coactivator_Complex__nuc	M3	5.5379	NOTCH1	CRENIGACESTAT	no		TTD	2.175158273286897	
11	NOTCH1_Coactivator_Complex__nuc	M3	5.5379	NOTCH1	NIROGACESTAT	yes	other/unknown	CGI;MyCancerGenome;CIViC	1.398316032827291	
11	NOTCH1_Coactivator_Complex__nuc	M3	5.5379	NOTCH1	MK-0752	no		CGI	1.305094963972138	
13	COL1A1__ext	ssc_tier1	4.4550	COL1A1	PAMIDRONATE	yes		PharmGKB	1.355942819711312	
13	COL1A1__ext	ssc_tier1	4.4550	COL1A1	ETIDRONIC ACID	yes		PharmGKB	1.065383644058888	
13	COL1A1__ext	ssc_tier1	4.4550	COL1A1	ZOLEDRONIC ACID ANHYDROUS	yes		PharmGKB	0.9943580677882958	
13	COL1A1__ext	ssc_tier1	4.4550	COL1A1	SOMATROPIN (RECOMBINANT DNA ORIGIN)	yes		PharmGKB	0.9943580677882958	
13	COL1A1__ext	ssc_tier1	4.4550	COL1A1	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	yes	cleavage	TEND;TdgClinicalTrial;ChEMBL	0.7990377330441664	
14	IL6__ext	M4	3.7395	IL6	CLAZAKIZUMAB	no	antibody;inhibitor	TTD;TdgClinicalTrial;TALC;ChEMBL	4.261534576235554	
14	IL6__ext	M4	3.7395	IL6	OLOKIZUMAB	no	inhibitor	TTD;TdgClinicalTrial;ChEMBL	4.261534576235554	
