species_id	hgnc_symbol	uniprot	ensembl	chebi	compartment	module	taxonomy	notes
IFNA_slash_B_x_IFNAR2_x_p_minus_JAK1_x_STAT2_x_p_minus_IFNAR1_x_p_minus_TYK2_x_p_minus_STAT2_x_STAT1__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:p_minus_JAK1:STAT2:p_minus_IFNAR1:p_minus_TYK2:p_minus_STAT2:STAT1
p21_space_RAS_x_GTP__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: p21_space_RAS:GTP
p21_space_RAS_x_GDP__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: p21_space_RAS:GDP
GRB2_minus_1_x_SOS1__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: GRB2_minus_1:SOS1
PDGF_x_p_minus_PDGFR_space_dimer_x_p_minus_PLCgamma__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:p_minus_PDGFR_space_dimer:p_minus_PLCgamma
FURIN__golgi	FURIN				Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: FURIN
p_minus_4Y_minus_PLCG1__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: p_minus_4Y_minus_PLCG1
PLCG1__cyto	PLCG1				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PLCG1
PI_3_4_5_P3__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PI(3,4,5)P3
PI_4_5_P2__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PI(4,5)P2
active_space_PDGF_minus_BB_space_dimer__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: active_space_PDGF_minus_BB_space_dimer
PDGF_x_PDGF_space_receptor_space_dimer__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:PDGF_space_receptor_space_dimer
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_PI3K__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:PI3K
PDGFRA_space_PDGFRB__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGFRA,_space_PDGFRB
PDGFRA__cyto	PDGFRA				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGFRA
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_PLC_minus_gamma__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:PLC_minus_gamma
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_Grb2_x_Sos1__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:Grb2:Sos1
Phospho_minus_beta_space_receptor_space_homodimer_x_GAP__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: Phospho_minus_beta_space_receptor_space_homodimer:GAP
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_MyrG_minus_SRC__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:MyrG_minus_SRC
RASA1__cyto	RASA1				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: RASA1
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_SHP2__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:SHP2
BCAR1__cyto	BCAR1				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: BCAR1
GRB7__cyto	GRB7				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: GRB7
GDP__cyto	GDP				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: GDP
GTP__cyto	GTP				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: GTP
proPDGF_minus_BB_space_dimer__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: proPDGF_minus_BB_space_dimer
proPDGF_minus_AA_space_dimer__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: proPDGF_minus_AA_space_dimer
proPDGF_minus_AB_space_dimer__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: proPDGF_minus_AB_space_dimer
STAT_space_family_space_members__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: STAT_space_family_space_members
PDGF_space_A_slash_B_space_heterodimer__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF_space_A_slash_B_space_heterodimer
Active_space_PDGF_space_dimers_space_AA_space_AB_space_BB__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: Active_space_PDGF_space_dimers_space_(AA,_space_AB,_space_BB)
active_space_PDGF_minus_AA_space_dimer__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: active_space_PDGF_minus_AA_space_dimer
PDGF_x_phospho_minus_PDGF_space_receptor_space_dimer_x_STAT__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:phospho_minus_PDGF_space_receptor_space_dimer:STAT
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_MyrG_minus_p_minus_Y419_minus_SRC__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:MyrG_minus_p_minus_Y419_minus_SRC
PDGF_space_precursor_space_dimers_space_AA_space_BB_space_A_slash_B_space_CC_space_DD__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF_space_precursor_space_dimers_space_(AA,_space_BB,_space_A_slash_B,_space_CC,_space_DD)
PDGF_space_A_space_and_space_B_space_chains_space_with_space_retention_space_motif__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF_space_A_space_and_space_B_space_chains_space_with_space_retention_space_motif
PDGF_space_precursor_space_dimers_space_space_AA_space_BB_space_A_slash_B_space_CC_space_DD__endoplas					endoplasmic_space_reticulum_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF_space_precursor_space_dimers_space__space_(AA,_space_BB,_space_A_slash_B,_space_CC,_space_DD)
serine_minus_type_space_endopeptidases_space_involved_space_in_space_novel_space_PDGF_space_processing__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: serine_minus_type_space_endopeptidases_space_involved_space_in_space_novel_space_PDGF_space_processing
Active_space_PDGF_space_dimers_space_CC_space_DD__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: Active_space_PDGF_space_dimers_space_(CC,_space_DD)
Novel_space_PDGF_space_precursor_space_dimers_space_CC_space_DD__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: Novel_space_PDGF_space_precursor_space_dimers_space_(CC,_space_DD)
CRK_space_CRKL__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: CRK,_space_CRKL
Extracellular_space_matrix_space_ligands__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: Extracellular_space_matrix_space_ligands
Novel_space_PDGF_space_precursor_space_dimers_space_CC_space_DD__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: Novel_space_PDGF_space_precursor_space_dimers_space_(CC,_space_DD)
NCK1_NCK2__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: NCK1,NCK2
PDGF_space_A_space_and_space_B_space_chains_x_ECM_space_complex__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF_space_A_space_and_space_B_space_chains:ECM_space_complex
PDGF_x_Phospho_minus_PDGFR_space_receptor_space_dimer_x_Nck__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGFR_space_receptor_space_dimer:Nck
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_Crk__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:Crk
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_Grb7__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:Grb7
PDGF_x_Phospho_minus_PDGF_space_receptor_space_dimer_x_Crk_x_p130Cas_x_C3G__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF:Phospho_minus_PDGF_space_receptor_space_dimer:Crk:p130Cas:C3G
Cleaved_space_PDGF_minus_B_space_peptides__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: Cleaved_space_PDGF_minus_B_space_peptides
Cleaved_space_novel_space_PDGF_space_fragments__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: Cleaved_space_novel_space_PDGF_space_fragments
Phospho_space_PDGF_space_alpha_space_receptor_x_PDGF_space_dimers__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: Phospho_space_PDGF_space_alpha_space_receptor:PDGF_space_dimers
Phospho_space_PDGF_space_beta_space_receptor_x_space_PDGF_space_chain_space_B_space_homodimer__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: Phospho_space_PDGF_space_beta_space_receptor:_space_PDGF_space_chain_space_B_space_homodimer
Phospho_space_PDGF_space_alpha_minus_beta_space_dimer_x_PDGF_space_AB_space_or_space_BB_space_dimers__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: Phospho_space_PDGF_space_alpha_minus_beta_space_dimer:PDGF_space_AB_space_or_space_BB_space_dimers
PDGF_space_alpha_slash_beta_x_PDGF_space_AB_space_and_space_BB_space_dimers__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF_space_alpha_slash_beta:PDGF_space_AB_space_and_space_BB_space_dimers
PDGF_space_beta_space_receptor_x_PDGF_space_chain_space_B_space_homodimer__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF_space_beta_space_receptor:PDGF_space_chain_space_B_space_homodimer
PDGF_space_alpha_space_receptor_x_space_PDGF_space_dimers__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGF_space_alpha_space_receptor:_space_PDGF_space_dimers
PTPN12__cyto	PTPN12				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PTPN12
PI3K__cyto	PI3K				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PI3K
p_minus_PDGFRB_space_homo_space_and_space_heterodimers__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: p_minus_PDGFRB_space_homo_space_and_space_heterodimers
