Name,Relation1,Identifier1,Constant,InitialLevel,MaxLevel,Notes1,Comments
"p-STAT1_space_dimer,_space_ISGF3_unknown",isDescribedBy,,True,,1,"module=M1CaSQ-computed function: p-STAT1_space_dimer,_space_ISGF3_unknown",entityVertex_9710957_654 p_STAT1_dimer_ISGF3__cyto
ISGF3:KPNA1:KPNB1_complex,isDescribedBy,,True,,1,module=M1CaSQ-computed function: ISGF3:KPNA1:KPNB1_complex,entityVertex_9710965_652 ISGF3_KPNA1_KPNB1__cyto
"STAT1,STAT2:N_complex",isDescribedBy,,True,,1,"module=M1CaSQ-computed function: STAT1,STAT2:N_complex",entityVertex_9729443_1740 STAT1_STAT2_N__cyto
p-STAT1_space_dimer:KPNA1:KPNB1_unknown,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""p-STAT1_space_dimer:KPNA1_unknown""&KPNB1_cytosol",entityVertex_9757476_1661 p_STAT1_dimer_KPNA1_KPNB1__cyto
p-STAT1_space_dimer:KPNA1_unknown,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""p-STAT1_space_dimer,_space_ISGF3_unknown""&KPNA1_cytosol",entityVertex_9757478_1535 p_STAT1_dimer_KPNA1__cyto
p-Y701-STAT1:KPNA1:KPNB1_complex,isDescribedBy,,True,,1,module=M1CaSQ-computed function: p-Y701-STAT1:KPNA1:KPNB1_complex,entityVertex_9757480_1714 p_Y701_STAT1_KPNA1_KPNB1__cyto
Class_space_I_space_MHC_space_heavy_space_chain_space_(MHC_space_HC)_unknown,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_983117_231 Class_I_MHC_heavy_chain_MHC_HC__er
multiubiquitinated_space_STAT2_complex,isDescribedBy,,True,,1,module=M1CaSQ-computed function: multiubiquitinated_space_STAT2_complex,entityVertex_9833154_1755 multiubiquitinated_STAT2__cyto
IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:TYK2_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&H2O_simple_molecule&PTPN1",entityVertex_997300_132 IFNA_B_IFNAR2_p_JAK1_STAT2_IFNAR1_TYK2__cyto
IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:STAT1_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""&H2O_simple_molecule&PTPN11",entityVertex_997304_156 IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2_STAT1__cyto
